1558821299076, 1558821299370, 294
1558821298153, 1558821299369, 1216
1558821300277, 1558821300323, 46
1558821301028, 1558821301064, 36
1558821302028, 1558821302107, 79
1558821303022, 1558821303068, 46
1558821304093, 1558821304195, 102
1558821305038, 1558821305074, 36
1558821306029, 1558821306090, 61
1558821307045, 1558821307066, 21
1558821308190, 1558821308254, 64
1558821309034, 1558821309068, 34
1558821310033, 1558821310116, 83
1558821311030, 1558821311048, 18
1558821312184, 1558821312280, 96
1558821313058, 1558821313098, 40
1558821314036, 1558821314076, 40
1558821315026, 1558821315045, 19
1558821316094, 1558821316115, 21
1558821317030, 1558821317045, 15
1558821318028, 1558821318057, 29
1558821319024, 1558821319047, 23
1558821320080, 1558821320105, 25
1558821321030, 1558821321051, 21

1558821426136, 1558821426300, 164
1558821425143, 1558821426302, 1159
1558821427056, 1558821427142, 86
1558821428033, 1558821428062, 29
1558821429070, 1558821429123, 53
1558821430178, 1558821430280, 102
1558821431048, 1558821431154, 106
1558821432131, 1558821432193, 62
1558821433032, 1558821433154, 122
1558821434223, 1558821434349, 126
1558821435031, 1558821435073, 42
1558821436056, 1558821436096, 40
1558821437046, 1558821437124, 78
1558821438144, 1558821438263, 119
1558821439053, 1558821439094, 41
1558821440038, 1558821440129, 91
1558821441037, 1558821441099, 62
1558821442239, 1558821442327, 88
1558821443042, 1558821443079, 37
1558821444032, 1558821444067, 35


1558822389114, 1558822389621, 507
1558822390045, 1558822390098, 53
1558822391044, 1558822391091, 47
1558822392039, 1558822392059, 20
1558822393036, 1558822393055, 19
1558822394050, 1558822394098, 48
1558822395039, 1558822395075, 36
1558822396033, 1558822396051, 18
1558822397025, 1558822397044, 19
1558822398042, 1558822398083, 41
1558822399018, 1558822399030, 12
1558822400019, 1558822400031, 12
1558822401040, 1558822401055, 15
1558822402039, 1558822402077, 38
1558822403019, 1558822403030, 11
1558822404019, 1558822404034, 15
1558822405053, 1558822405065, 12
1558822406014, 1558822406030, 16

1558823237044, 1558823237295, 251
1558823236140, 1558823237295, 1155
1558823238115, 1558823238139, 24
1558823239051, 1558823239117, 66
1558823240052, 1558823240095, 43
1558823241081, 1558823241106, 25
1558823242059, 1558823242126, 67
1558823243049, 1558823243103, 54
1558823244047, 1558823244097, 50
1558823245040, 1558823245056, 16
1558823246048, 1558823246099, 51
1558823247030, 1558823247056, 26
1558823248036, 1558823248055, 19
1558823249113, 1558823249133, 20
1558823250052, 1558823250102, 50
1558823251061, 1558823251110, 49
1558823252032, 1558823252064, 32
1558823253095, 1558823253147, 52
1558823254061, 1558823254107, 46
1558823255040, 1558823255083, 43

1558826659030, 1558826659256, 226
1558826658151, 1558826659256, 1105
1558826660032, 1558826660058, 26
1558826661099, 1558826661151, 52
1558826662024, 1558826662046, 22
1558826663080, 1558826663125, 45
1558826664059, 1558826664081, 22
1558826665088, 1558826665114, 26
1558826666073, 1558826666125, 52
1558826667044, 1558826667065, 21
1558826668048, 1558826668066, 18
1558826669060, 1558826669086, 26
1558826670068, 1558826670127, 59
1558826671063, 1558826671108, 45
1558826672068, 1558826672107, 39
1558826673038, 1558826673077, 39
