2019-05-29T11:58:54.464+03:00 1 3
2019-05-29T11:59:50.408+03:00 1 3
2019-05-29T12:03:15.711+03:00 1 3
2019-05-29T12:03:50.341+03:00 1 3
2019-05-29T12:04:38.026+03:00 1 3
2019-05-29T12:05:57.896+03:00 1 3
2019-05-29T12:15:13.610+03:00 1 3
2019-05-29T12:16:08.101+03:00 1 3
2019-05-29T12:17:03.340+03:00 1 3
2019-05-29T12:18:34.093+03:00 1 3
2019-05-29T12:51:14.665+03:00 1 3
2019-05-29T12:52:17.534+03:00 1 3
2019-05-29T12:54:06.104+03:00 1 3
2019-05-29T12:55:54.795+03:00 1 3
2019-05-29T12:57:20.919+03:00 1 3
1559123850054, 1559123850369, 315
1559123849163, 1559123850373, 1210
1559123851098, 1559123851632, 534
1559123852079, 1559123852183, 104
1559123853033, 1559123853081, 48
1559123854034, 1559123854077, 43
1559123855048, 1559123855086, 38
1559123856051, 1559123856586, 535
1559123857068, 1559123857162, 94
1559123858052, 1559123858092, 40
1559123859065, 1559123859115, 50
1559123860048, 1559123860086, 38
2019-05-29T12:59:03.966+03:00 1 3
1559123954066, 1559123954302, 236
1559123953160, 1559123954303, 1143
1559123955116, 1559123955646, 530
1559123956096, 1559123956632, 536
1559123957082, 1559123957616, 534
1559123958079, 1559123958172, 93
1559123959028, 1559123959069, 41
1559123960027, 1559123960064, 37
1559123961027, 1559123961063, 36
1559123962024, 1559123962058, 34
1559123963028, 1559123963065, 37
1559123964066, 1559123964099, 33
1559123965044, 1559123965072, 28
1559123966046, 1559123966073, 27
1559123967038, 1559123967571, 533
2019-05-29T13:00:53.197+03:00 1 3
1559124061794, 1559124062357, 563
1559124062122, 1559124062357, 235
1559124063177, 1559124063179, 2
1559124064100, 1559124064101, 1
1559124065102, 1559124065104, 2
1559124066065, 1559124066066, 1
1559124067096, 1559124067097, 1
1559124068085, 1559124068086, 1
1559124069087, 1559124069088, 1
1559124070060, 1559124070061, 1
1559124071063, 1559124071064, 1
1559124072556, 1559124072557, 1
1559124073569, 1559124073569, 0
2019-05-29T13:02:56.643+03:00 1 3
2019-05-29T13:15:16.235+03:00 1 3
2019-05-29T13:17:24.836+03:00 1 3
2019-05-29T13:18:03.240+03:00 1 3
2019-05-29T14:40:55.438+03:00 1 3
2019-05-29T15:00:33.474+03:00 1 3
2019-05-29T15:05:50.344+03:00 1 3
2019-05-29T15:07:33.560+03:00 1 3
2019-05-29T15:15:48.977+03:00 1 3
2019-05-29T15:22:09.862+03:00 1 3
2019-05-29T15:26:32.611+03:00 1 3
2019-05-29T15:31:26.681+03:00 1 3
2019-05-29T15:32:32.097+03:00 1 3
2019-05-29T15:32:50.015+03:00 1 3
2019-05-29T15:37:42.356+03:00 1 3
2019-05-29T15:52:23.394+03:00 1 3
2019-05-29T15:53:18.069+03:00 1 3
2019-05-29T15:53:57.762+03:00 1 3
2019-05-29T15:55:32.396+03:00 1 3
2019-05-29T16:00:44.629+03:00 1 3
2019-05-29T16:09:40.092+03:00 1 3
2019-05-29T16:16:32.383+03:00 1 3
2019-05-29T16:18:15.602+03:00 1 3
2019-05-29T16:18:19.274+03:00 1 3
2019-05-29T16:33:58.132+03:00 1 3
2019-05-29T16:39:47.070+03:00 1 3
2019-05-29T16:46:16.981+03:00 1 3
2019-05-29T16:51:09.928+03:00 1 3
2019-05-29T16:57:48.951+03:00 1 3
2019-05-29T17:02:32.075+03:00 1 3
2019-05-29T17:06:57.882+03:00 1 3
2019-05-29T17:12:38.065+03:00 1 3
2019-05-29T17:19:17.819+03:00 1 3
2019-05-29T17:24:28.000+03:00 1 3
2019-05-29T17:31:06.840+03:00 1 3
2019-05-29T22:15:15.151+03:00 1 3
2019-05-29T22:16:15.703+03:00 1 3
2019-05-29T22:18:28.379+03:00 1 3
2019-05-29T22:19:15.049+03:00 1 3
2019-05-29T22:23:57.647+03:00 1 3
2019-05-29T22:27:25.935+03:00 1 3
2019-05-29T22:47:07.088+03:00 1 3
2019-05-29T22:48:34.771+03:00 1 3
2019-05-29T22:49:00.401+03:00 1 3
2019-05-29T22:49:55.235+03:00 1 3
2019-05-29T22:50:33.313+03:00 1 3
2019-05-29T22:52:22.794+03:00 1 3
2019-05-29T22:52:43.333+03:00 1 3
2019-05-29T22:56:02.041+03:00 1 3
2019-05-29T23:01:15.984+03:00 1 3
2019-05-29T23:05:28.286+03:00 1 3
2019-05-29T23:10:21.637+03:00 1 3
2019-05-29T23:15:01.318+03:00 1 3
2019-05-29T23:19:54.893+03:00 1 3
2019-05-29T23:24:39.386+03:00 1 3
2019-05-29T23:29:08.573+03:00 1 3
2019-05-29T23:29:30.891+03:00 1 3
2019-05-29T23:30:34.282+03:00 1 3
2019-05-29T23:30:55.041+03:00 1 3
2019-05-29T23:35:47.400+03:00 1 3
2019-05-29T23:46:59.744+03:00 1 3
2019-05-29T23:47:15.850+03:00 1 3
2019-05-29T23:47:50.445+03:00 1 3
2019-05-29T23:57:55.877+03:00 1 3
2019-05-30T00:05:31.546+03:00 1 3
2019-05-30T00:12:38.044+03:00 1 3
2019-05-30T00:21:28.522+03:00 1 3
2019-05-30T00:25:07.122+03:00 1 3
